metric,mean,std
accuracy,0.9343434343434344,0.0015282069640181336
precision,0.8413330276328845,0.0076907139025378345
recall,0.9086471408647142,0.011179372065468181
f1_score,0.873605271371901,0.003136673202450621
roc_auc,0.9654753441102085,0.0030513797996427052
avg_precision,0.8852815737113208,0.011498558305043668
